"place_id","day","hours_text"
"0x3054f11bc9d69259:0xe55fc05075b6e211","Thursday","9 AM–7 PM"
"0x3054f11bc9d69259:0xe55fc05075b6e211","Friday","9 AM–7 PM"
"0x3054f11bc9d69259:0xe55fc05075b6e211","Saturday","9 AM–5 PM"
"0x3054f11bc9d69259:0xe55fc05075b6e211","Sunday","9 AM–5 PM"
"0x3054f11bc9d69259:0xe55fc05075b6e211","Monday","9 AM–7 PM"
"0x3054f11bc9d69259:0xe55fc05075b6e211","Tuesday","9 AM–7 PM"
"0x3054f11bc9d69259:0xe55fc05075b6e211","Wednesday","9 AM–7 PM"
"0x3054f552a2fd34a5:0xa010c17200714917","Thursday","9 AM–8 PM"
"0x3054f552a2fd34a5:0xa010c17200714917","Friday","9 AM–8 PM"
"0x3054f552a2fd34a5:0xa010c17200714917","Saturday","8 AM–8 PM"
"0x3054f552a2fd34a5:0xa010c17200714917","Sunday","8 AM–8 PM"
"0x3054f552a2fd34a5:0xa010c17200714917","Monday","Closed"
"0x3054f552a2fd34a5:0xa010c17200714917","Tuesday","8 AM–8 PM"
"0x3054f552a2fd34a5:0xa010c17200714917","Wednesday","9 AM–8 PM"
"0x3054f1ab6d82cc2d:0x2b0297d7ccbc0b49","Thursday","Open 24 hours"
"0x3054f1ab6d82cc2d:0x2b0297d7ccbc0b49","Friday","Open 24 hours"
"0x3054f1ab6d82cc2d:0x2b0297d7ccbc0b49","Saturday","Open 24 hours"
"0x3054f1ab6d82cc2d:0x2b0297d7ccbc0b49","Sunday","Open 24 hours"
"0x3054f1ab6d82cc2d:0x2b0297d7ccbc0b49","Monday","Open 24 hours"
"0x3054f1ab6d82cc2d:0x2b0297d7ccbc0b49","Tuesday","Open 24 hours"
"0x3054f1ab6d82cc2d:0x2b0297d7ccbc0b49","Wednesday","Open 24 hours"
"0x3054f16d347b0e53:0x7082244f321eca49","Thursday","9 am–7 pm"
"0x3054f16d347b0e53:0x7082244f321eca49","Friday","9 am–7 pm"
"0x3054f16d347b0e53:0x7082244f321eca49","Saturday","9 am–5 pm"
"0x3054f16d347b0e53:0x7082244f321eca49","Sunday","9 am–4 pm"
"0x3054f16d347b0e53:0x7082244f321eca49","Monday","9 am–7 pm"
"0x3054f16d347b0e53:0x7082244f321eca49","Tuesday","9 am–7 pm"
"0x3054f16d347b0e53:0x7082244f321eca49","Wednesday","9 am–7 pm"
"0x3054f1fbaf8880ad:0x32edc83202cbfd92","Thursday","8 AM–7 PM"
"0x3054f1fbaf8880ad:0x32edc83202cbfd92","Friday","8 AM–7 PM"
"0x3054f1fbaf8880ad:0x32edc83202cbfd92","Saturday","8 AM–7 PM"
"0x3054f1fbaf8880ad:0x32edc83202cbfd92","Sunday","8 AM–7 PM"
"0x3054f1fbaf8880ad:0x32edc83202cbfd92","Monday","8 AM–7 PM"
"0x3054f1fbaf8880ad:0x32edc83202cbfd92","Tuesday","8 AM–7 PM"
"0x3054f1fbaf8880ad:0x32edc83202cbfd92","Wednesday","8 AM–7 PM"
"0x3054f312f786f9d1:0x4fd484c6b86a1dac","Thursday","5–8 pm"
"0x3054f312f786f9d1:0x4fd484c6b86a1dac","Friday","5–8 pm"
"0x3054f312f786f9d1:0x4fd484c6b86a1dac","Saturday","8 am–8 pm"
"0x3054f312f786f9d1:0x4fd484c6b86a1dac","Sunday","8 am–8 pm"
"0x3054f312f786f9d1:0x4fd484c6b86a1dac","Monday","5–8 pm"
