"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT25WUWJrSkdVM053YzBac1pHeERZbXhaWVRjNFVFRRAB","0x30e2bf6d1f6b9073:0x1a03e94fc286b81d","คลินิกทันตกรรม ฟ.ฟันสะอาดจัง 2",5,"This clinic is amazing! The teeth cleaning was excellent, painless, and the care was superb. The dentist had a very gentle touch. I used to panic about dentists, but not here. It was fantastic!","Preawa","113951923170909960539","https://www.google.com/maps/contrib/113951923170909960539/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjX19jTeI46tGQYwOp5V9g9uMeuMgS87pw1tzjJ0-xfzrzFVueM=w36-h36-p-rp-mo-ba12-br100",1,7,35,"3 weeks ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2xOTFYyOUlZV1p2Ukc1WVZHMUpNamRoWDFScFlVRRAB","0x30e2bf6d1f6b9073:0x1a03e94fc286b81d","คลินิกทันตกรรม ฟ.ฟันสะอาดจัง 2",5,"The clinic is very clean, spacious, and has convenient parking. The doctor is gentle and speaks kindly.","กฤษดา แย้มวงษ์","100250262182000000257","https://www.google.com/maps/contrib/100250262182000000257/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLiOknecT-kOhQ9dLNIJMeOeYNuncQChmF8NAi2lgve5mcz1Q=w36-h36-p-rp-mo-br100",0,1,2,"a month ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2xsWVZsUk1hVkZZVG1oSVpFWnllbHA1ZVhCNGVGRRAB","0x30e2bf6d1f6b9073:0x1a03e94fc286b81d","คลินิกทันตกรรม ฟ.ฟันสะอาดจัง 2",5,"The dentist was very gentle today; I had a tooth extracted and the anesthetic injection was painless. The clinic is spacious and very clean. The staff are friendly and provide excellent service.","Theangtrong Wongchan","103937430511047126022","https://www.google.com/maps/contrib/103937430511047126022/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXqJWEtzjiNXZqwkPli9L1FRnkmTrvSQHjc_T2_76zO0ne14x1U=w36-h36-p-rp-mo-br100",0,1,1,"a month ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2tKVFNtaFVkRlJxVEdSdU0yOXliWEI0TkhsbVZWRRAB","0x30e2bf6d1f6b9073:0x1a03e94fc286b81d","คลินิกทันตกรรม ฟ.ฟันสะอาดจัง 2",5,"The clinic looks nice and clean. The doctor is kind, speaks politely, and gives good advice. I was very impressed.","นิสรา มอญสูขํา","116631858736209977033","https://www.google.com/maps/contrib/116631858736209977033/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJbiunNU-HPCuQd6_cpzP8xeaCtFPrVZbBFq7aWTgZmkatzxg=w36-h36-p-rp-mo-br100",0,2,12,"a month ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25Ga2IzaHdSRUZpUm5sSE1FbEhRak5GYlZSclVGRRAB","0x30e2bf6d1f6b9073:0x1a03e94fc286b81d","คลินิกทันตกรรม ฟ.ฟันสะอาดจัง 2",5,"The service was excellent! The doctor and staff were very lovely.","Naruethai Tassanasuwan","109169641836740603865","https://www.google.com/maps/contrib/109169641836740603865/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKzeNKVKV7RrthZjK6qESbJsU-rPPSn8BF8JwJc064ghYWelQ=w36-h36-p-rp-mo-br100",0,1,1,"a month ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25obVZWVlhRalp0TkhaNlR6QnFRekk0Y2tkQ1QxRRAB","0x30e2bf6d1f6b9073:0x1a03e94fc286b81d","คลินิกทันตกรรม ฟ.ฟันสะอาดจัง 2",5,"I was impressed with everything, from the front counter to the doctor who was very gentle. I'm impressed every time I come; the staff are very friendly.","Maprang cs","101976224847468230180","https://www.google.com/maps/contrib/101976224847468230180/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVf7fnA8-RuWjE2AoLPFv_P4GH8lMCc5O053r1K1IpyfLOI_Ww=w36-h36-p-rp-mo-br100",0,2,0,"a month ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2s1WlZ6QnFlUzB3TTBsNmNXOTRWSGxyTWs1RFNuYxAB","0x30e2bf6d1f6b9073:0x1a03e94fc286b81d","คลินิกทันตกรรม ฟ.ฟันสะอาดจัง 2",5,"The doctor was gentle, had a good sense of humor, and gave helpful advice.","Sasivan Saksupab","104537225959402420758","https://www.google.com/maps/contrib/104537225959402420758/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKVSU_GuZKaeLd2sdFMxcVh1XwC9565dzgqtM99bIU6-4WeMs4=w36-h36-p-rp-mo-br100",0,4,0,"5 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT21WTk9YZE9lbTB5ZG5jMWFXVXlTMmREYVVWclRuYxAB","0x30e2bf6d1f6b9073:0x1a03e94fc286b81d","คลินิกทันตกรรม ฟ.ฟันสะอาดจัง 2",5,"The parking lot is spacious, the clinic is very large and extremely clean. I was very impressed.","Nuttaporn Keawsiri","109316189986995066490","https://www.google.com/maps/contrib/109316189986995066490/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXCdJ6EXYJjAQpieE_spVBEURraUOHvmWkwIW7D6IYMnSfq-3Vr=w36-h36-p-rp-mo-br100",0,2,3,"a month ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnTUR3aEltU2tBRRAB","0x30e2bf6d1f6b9073:0x1a03e94fc286b81d","คลินิกทันตกรรม ฟ.ฟันสะอาดจัง 2",5,"The doctor is very kind and gentle. The clinic is very clean. I come to this clinic regularly for dental treatment.","Gijja Kongmak","111421985546430147816","https://www.google.com/maps/contrib/111421985546430147816/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJ81XMkprv3iAI-aOL1qwchmiZZpehG4n61Huo1E6oEUF9eKA=w36-h36-p-rp-mo-br100",0,2,9,"a year ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT20xRWJWZzNWM1JLYzAxaU1UUlJabEZoYTJFNVVHYxAB","0x30e2bf6d1f6b9073:0x1a03e94fc286b81d","คลินิกทันตกรรม ฟ.ฟันสะอาดจัง 2",5,"Today, I had my boyfriend have his teeth cleaned. He said the doctor did a great job, his hands were gentle, and the staff provided excellent service. There's parking in front of the shop and on the side, which is very convenient.
(It would be great if this branch accepted the Gold Card, as my son has one.)","paik violet","113093079145363753392","https://www.google.com/maps/contrib/113093079145363753392/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKQFNJP55C5qrEIQb2AtXi07QGkqIHoZGBM1YGPcNnHxL0_vw=w36-h36-p-rp-mo-br100",0,1,0,"10 months ago","","relevant"
