"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT25wbE0zQnVhbXMwYkVOUWVsRmhNMDE2ZGpGM2FIYxAB","0x30da34782173c983:0x30bb337228ab1c44","โรงพยาบาลสัตว์เชียงใหม่-สันป่าตอง Chiang Mai-Sanpatong Animal Hospital",5,"","Chefป้าลี","114284097034380746787","https://www.google.com/maps/contrib/114284097034380746787/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXAKClzoH43GAFlW0z7_vK9CaW8aPb9JyNJZPeUyGaE3MNGsu8=w36-h36-p-rp-mo-ba12-br100",1,33,520,"5 days ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2xsb2JUWTFjbDgyUVdjelIzaFRhRU5FWTJkMlRtYxAB","0x30da34782173c983:0x30bb337228ab1c44","โรงพยาบาลสัตว์เชียงใหม่-สันป่าตอง Chiang Mai-Sanpatong Animal Hospital",1,"I took my cat to the vet. The vet was inexperienced and didn't even notice how weak my cat was. They gave a strong intravenous injection, causing my cat to go into shock at the hospital. They couldn't save her. The cost wasn't the problem, but what I got was my cat's dead body. It's like I brought my cat to die instead of getting treatment. The service was terrible. They just handed me the dead cat without taking any responsibility or explaining anything. One visit is enough. Think about it yourselves.","nooknicknina Tanada","109200450728085114321","https://www.google.com/maps/contrib/109200450728085114321/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXqd4dWj_ey4g5gxRQTkI6OVStc-corduf42CvaG8336B0GXCS0=w36-h36-p-rp-mo-br100",0,1,0,"a month ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT25wd2RqQnBObVU0VW5KcWNIUjBjbFZKV2pKVlozYxAB","0x30da34782173c983:0x30bb337228ab1c44","โรงพยาบาลสัตว์เชียงใหม่-สันป่าตอง Chiang Mai-Sanpatong Animal Hospital",1,"I took my dog ​​to this hospital in 2023 for uterine inflammation. They removed her uterus and spayed her. However, three months later, she went into heat again. When I inquired, the hospital said that perhaps the ovaries weren't completely removed and some small fragments might remain, but they assured me she wouldn't get pregnant. Two years later, her ovaries became reinfected. I asked for accountability, but there was none because the vet who performed the surgery had left the hospital and I was told to contact them myself. I figured I wouldn't have to pay for the surgery at the original hospital anyway. So I went to another, more skilled vet. The conclusion was, it wasn't that the ovaries weren't completely removed, but that they weren't removed at all in the first place. Consider this carefully. I'm definitely never going back to that hospital again.","วาสนา อุตสาสาน","111772940537206012757","https://www.google.com/maps/contrib/111772940537206012757/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjV8m4gKrmJGLcgpKYtYj9u8FzymlG6wTDvJ9ISPk3ukyPuG1R8=w36-h36-p-rp-mo-br100",0,2,3,"4 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT25WbGFuYzFTVTVGY2tvMFgwZG5VVTVYVHpJM1EzYxAB","0x30da34782173c983:0x30bb337228ab1c44","โรงพยาบาลสัตว์เชียงใหม่-สันป่าตอง Chiang Mai-Sanpatong Animal Hospital",5,"They handle serious cases well, provide excellent treatment, and the vet and assistants take great care of our animal.","mini chat","112560172941085320940","https://www.google.com/maps/contrib/112560172941085320940/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJajbZkbnEGNQGPYs4MPI4pUy9786Qz3f9jF6KoxsAC1evdGQ=w36-h36-p-rp-mo-br100",0,8,6,"4 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT21Vek5WQTBUbTFJVTFWMFEzWXdXbHBQYm04NWFuYxAB","0x30da34782173c983:0x30bb337228ab1c44","โรงพยาบาลสัตว์เชียงใหม่-สันป่าตอง Chiang Mai-Sanpatong Animal Hospital",3,"Expensive. The cost of medication wasn't stated on the receipt. No receipt provided. One visit is enough.","aphirak","109998492124856328309","https://www.google.com/maps/contrib/109998492124856328309/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVF5W4AVpcoooJrT9iNmzHr_99xtWwx7AbsjGay3GisibTu9WPd=w36-h36-p-rp-mo-ba12-br100",1,49,7,"4 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2kxQ1pVazFMVEpvVkMxWE5FaEVlSGhqYTE5M1dsRRAB","0x30da34782173c983:0x30bb337228ab1c44","โรงพยาบาลสัตว์เชียงใหม่-สันป่าตอง Chiang Mai-Sanpatong Animal Hospital",5,"","Beger TVR","107401734989176425378","https://www.google.com/maps/contrib/107401734989176425378/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjV4HwfNjqpNNmEogpvJ5MO_Y7Nn1n3jwIQwGK6-7lNyqooSYmY=w36-h36-p-rp-mo-br100",0,1,4,"9 months ago","","newest"
"Ci9DQUlRQUNvZENodHljRjlvT2xVNVVYSllSVVpVWWpGa2NFcEVkVVY1YUcxclYwRRAB","0x30da34782173c983:0x30bb337228ab1c44","โรงพยาบาลสัตว์เชียงใหม่-สันป่าตอง Chiang Mai-Sanpatong Animal Hospital",5,"I'm already receiving treatment at my regular clinic.","ม่านเหมย ปลายม่อน","110755330599819825302","https://www.google.com/maps/contrib/110755330599819825302/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUH0Fe2D5XdqA3Z2--2bLdO12n4JYaMxqis6yG31yGmnF0nvTCkHA=w36-h36-p-rp-mo-ba12-br100",1,21,0,"Edited 10 months ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnTUN3d2YybzVBRRAB","0x30da34782173c983:0x30bb337228ab1c44","โรงพยาบาลสัตว์เชียงใหม่-สันป่าตอง Chiang Mai-Sanpatong Animal Hospital",5,"","Rose","116879579538683637920","https://www.google.com/maps/contrib/116879579538683637920/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWd7onA5c1xrKTmscOrGw1yK2WsmJwrlEK4P-2Yvuv0w3Hm_xjY=w36-h36-p-rp-mo-ba12-br100",1,3,102,"a year ago","","newest"
"ChZDSUhNMG9nS0VJQ0FnSUNKMk9PQWJREAE","0x30da34782173c983:0x30bb337228ab1c44","โรงพยาบาลสัตว์เชียงใหม่-สันป่าตอง Chiang Mai-Sanpatong Animal Hospital",5,"The service is excellent! I highly recommend it. The staff are all very kind and helpful. The treatment costs aren't too expensive, and the doctor is very thorough. I've been coming here for many years.","chalisa pothita","110495763406320878614","https://www.google.com/maps/contrib/110495763406320878614/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXwO0ssWrT2n-akEYkuXdkdxMdOyraNiJedbVsIP70jmxP-VND2=w36-h36-p-rp-mo-br100",0,4,0,"Edited a year ago","","newest"
"ChdDSUhNMG9nS0VJQ0FnSURYdWV5MzJBRRAB","0x30da34782173c983:0x30bb337228ab1c44","โรงพยาบาลสัตว์เชียงใหม่-สันป่าตอง Chiang Mai-Sanpatong Animal Hospital",4,"The treatment cost wasn't expensive. The doctor is skilled, brave, and courageous. There were plenty of assistants to hold the dog, so the owner didn't need to help (some clinics I've seen don't have any assistants at all). The price was reasonable, the treatment was targeted and effective, and the advice was excellent. However, I'm deducting one star because the doctor was stern; I was very scared! TT","Pila피라 Collections.","103002964211898520128","https://www.google.com/maps/contrib/103002964211898520128/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWyT8Mjy7wapnGxYrRv03Uimn4M1zUuilfhXxmfN9eGDp7Llcbp=w36-h36-p-rp-mo-br100",0,6,0,"a year ago","","newest"
